Table,Field Name,Field Type,Sample Value
"PromptTypes","id","singleLineText","pl_005"
"PromptTypes","promptType","multilineText","email_campaign"
"PromptTypes","displayName","multilineText","Email Campaign"
"PromptTypes","description","multilineText","Email marketing campaign creation and optimization"
"PromptTypes","category","singleSelect","marketing"
"PromptTypes","isActive","checkbox","true"
"PromptTypes","defaultTone","singleSelect","engaging"
"PromptTypes","estimatedTokens","number","400"
"PromptTypes","complexity","singleSelect","medium"
"PromptTypes","fieldCount","number","6"
"PromptTypes","hasNestedObjects","checkbox",""
"PromptTypes","PromptLogs","multipleRecordLinks",""
"PromptTypes","AnalyticsAggregates","multipleRecordLinks",""
"PromptTypes","Total Usage Count","rollup",""
"PromptTypes","Average Trust Score","rollup","[object Object]"
"PromptTypes","Average Cost Per Use","rollup","[object Object]"
"EmotionalStates","id","singleLineText","es_007"
"EmotionalStates","stateName","multilineText","Skeptical"
"EmotionalStates","category","singleSelect","negative"
"EmotionalStates","intensity","singleSelect","medium"
"EmotionalStates","description","multilineText","User has doubts and needs convincing"
"EmotionalStates","recommendedTone","multilineText","transparent"
"EmotionalStates","isActive","checkbox","true"
"TrustFactors","id","singleLineText","tf_005"
"TrustFactors","factorName","multilineText","Consistency"
"TrustFactors","category","singleSelect","reliability"
"TrustFactors","impact","singleSelect","high"
"TrustFactors","description","multilineText","Predictable and stable performance across interact"
"TrustFactors","applicableProducts","multipleSelects","business_plan,ai_blueprint"
"TrustFactors","isActive","checkbox","true"
"SystemConfigs","id","singleLineText","sc_004"
"SystemConfigs","configKey","multilineText","emotional_compass_enabled"
"SystemConfigs","configValue","multilineText","true"
"SystemConfigs","category","singleSelect","features"
"SystemConfigs","description","multilineText","Enable 5-axis emotional compass tracking"
"SystemConfigs","isActive","checkbox","true"
"SystemConfigs","updatedBy","singleSelect","system"
"SystemConfigs","AirtableSync","multipleRecordLinks",""
"SystemConfigs","SystemHealth","multipleRecordLinks",""
"AnalyticsAggregates","id","singleLineText","aa_006"
"AnalyticsAggregates","aggregateType","singleSelect","weekly"
"AnalyticsAggregates","promptType","singleSelect","business_plan"
"AnalyticsAggregates","dateRange","dateTime","2025-01-20T00:00:00.000Z"
"AnalyticsAggregates","totalSessions","number","95"
"AnalyticsAggregates","averageTrustScore","number","0.79"
"AnalyticsAggregates","averageResonanceScore","number","0.72"
"AnalyticsAggregates","totalTokensUsed","number","57000"
"AnalyticsAggregates","totalCostUSD","currency","1.14"
"AnalyticsAggregates","Prompt Type Ref","multipleRecordLinks",""
"AnalyticsAggregates","displayName (from Prompt Type Ref)","multipleLookupValues",""
"AnalyticsAggregates","category (from Prompt Type Ref)","multipleLookupValues",""
"AnalyticsAggregates","complexity (from Prompt Type Ref)","multipleLookupValues",""
"SessionAnalytics","id","singleLineText","sa_002"
"SessionAnalytics","sessionId","multilineText","sess_002"
"SessionAnalytics","userId","multilineText","user_002"
"SessionAnalytics","startTime","dateTime","2025-01-27T10:15:00.000Z"
